,prompt,region,object,country,img_id,geode_df_path
2280,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2280,
2281,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2281,
2282,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2282,
2283,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2283,
2284,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2284,
2285,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2285,
2286,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2286,
2287,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2287,
2288,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2288,
2289,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2289,
2290,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2290,
2291,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2291,
2292,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2292,
2293,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2293,
2294,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2294,
2295,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2295,
2296,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2296,
2297,hair brush/comb in the United States,the Americas,hair brush/comb,the United States,2297,
2298,hair brush/comb in Colombia,the Americas,hair brush/comb,Colombia,2298,
2299,hair brush/comb in India,Asia,hair brush/comb,India,2299,
2300,hair brush/comb in China,Asia,hair brush/comb,China,2300,
2301,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2301,
2302,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2302,
2303,hair brush/comb in India,Asia,hair brush/comb,India,2303,
2304,hair brush/comb in China,Asia,hair brush/comb,China,2304,
2305,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2305,
2306,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2306,
2307,hair brush/comb in India,Asia,hair brush/comb,India,2307,
2308,hair brush/comb in China,Asia,hair brush/comb,China,2308,
2309,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2309,
2310,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2310,
2311,hair brush/comb in India,Asia,hair brush/comb,India,2311,
2312,hair brush/comb in China,Asia,hair brush/comb,China,2312,
2313,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2313,
2314,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2314,
2315,hair brush/comb in India,Asia,hair brush/comb,India,2315,
2316,hair brush/comb in China,Asia,hair brush/comb,China,2316,
2317,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2317,
2318,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2318,
2319,hair brush/comb in India,Asia,hair brush/comb,India,2319,
2320,hair brush/comb in China,Asia,hair brush/comb,China,2320,
2321,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2321,
2322,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2322,
2323,hair brush/comb in India,Asia,hair brush/comb,India,2323,
2324,hair brush/comb in China,Asia,hair brush/comb,China,2324,
2325,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2325,
2326,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2326,
2327,hair brush/comb in India,Asia,hair brush/comb,India,2327,
2328,hair brush/comb in China,Asia,hair brush/comb,China,2328,
2329,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2329,
2330,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2330,
2331,hair brush/comb in India,Asia,hair brush/comb,India,2331,
2332,hair brush/comb in China,Asia,hair brush/comb,China,2332,
2333,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2333,
2334,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2334,
2335,hair brush/comb in India,Asia,hair brush/comb,India,2335,
2336,hair brush/comb in China,Asia,hair brush/comb,China,2336,
2337,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2337,
2338,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2338,
2339,hair brush/comb in India,Asia,hair brush/comb,India,2339,
2340,hair brush/comb in China,Asia,hair brush/comb,China,2340,
2341,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2341,
2342,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2342,
2343,hair brush/comb in India,Asia,hair brush/comb,India,2343,
2344,hair brush/comb in China,Asia,hair brush/comb,China,2344,
2345,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2345,
2346,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2346,
2347,hair brush/comb in India,Asia,hair brush/comb,India,2347,
2348,hair brush/comb in China,Asia,hair brush/comb,China,2348,
2349,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2349,
2350,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2350,
2351,hair brush/comb in India,Asia,hair brush/comb,India,2351,
2352,hair brush/comb in China,Asia,hair brush/comb,China,2352,
2353,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2353,
2354,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2354,
2355,hair brush/comb in India,Asia,hair brush/comb,India,2355,
2356,hair brush/comb in China,Asia,hair brush/comb,China,2356,
2357,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2357,
2358,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2358,
2359,hair brush/comb in India,Asia,hair brush/comb,India,2359,
2360,hair brush/comb in China,Asia,hair brush/comb,China,2360,
2361,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2361,
2362,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2362,
2363,hair brush/comb in India,Asia,hair brush/comb,India,2363,
2364,hair brush/comb in China,Asia,hair brush/comb,China,2364,
2365,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2365,
2366,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2366,
2367,hair brush/comb in India,Asia,hair brush/comb,India,2367,
2368,hair brush/comb in China,Asia,hair brush/comb,China,2368,
2369,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2369,
2370,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2370,
2371,hair brush/comb in India,Asia,hair brush/comb,India,2371,
2372,hair brush/comb in China,Asia,hair brush/comb,China,2372,
2373,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2373,
2374,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2374,
2375,hair brush/comb in India,Asia,hair brush/comb,India,2375,
2376,hair brush/comb in China,Asia,hair brush/comb,China,2376,
2377,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2377,
2378,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2378,
2379,hair brush/comb in India,Asia,hair brush/comb,India,2379,
2380,hair brush/comb in China,Asia,hair brush/comb,China,2380,
2381,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2381,
2382,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2382,
2383,hair brush/comb in India,Asia,hair brush/comb,India,2383,
2384,hair brush/comb in China,Asia,hair brush/comb,China,2384,
2385,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2385,
2386,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2386,
2387,hair brush/comb in India,Asia,hair brush/comb,India,2387,
2388,hair brush/comb in China,Asia,hair brush/comb,China,2388,
2389,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2389,
2390,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2390,
2391,hair brush/comb in India,Asia,hair brush/comb,India,2391,
2392,hair brush/comb in China,Asia,hair brush/comb,China,2392,
2393,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2393,
2394,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2394,
2395,hair brush/comb in India,Asia,hair brush/comb,India,2395,
2396,hair brush/comb in China,Asia,hair brush/comb,China,2396,
2397,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2397,
2398,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2398,
2399,hair brush/comb in India,Asia,hair brush/comb,India,2399,
2400,hair brush/comb in China,Asia,hair brush/comb,China,2400,
2401,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2401,
2402,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2402,
2403,hair brush/comb in India,Asia,hair brush/comb,India,2403,
2404,hair brush/comb in China,Asia,hair brush/comb,China,2404,
2405,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2405,
2406,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2406,
2407,hair brush/comb in India,Asia,hair brush/comb,India,2407,
2408,hair brush/comb in China,Asia,hair brush/comb,China,2408,
2409,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2409,
2410,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2410,
2411,hair brush/comb in India,Asia,hair brush/comb,India,2411,
2412,hair brush/comb in China,Asia,hair brush/comb,China,2412,
2413,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2413,
2414,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2414,
2415,hair brush/comb in India,Asia,hair brush/comb,India,2415,
2416,hair brush/comb in China,Asia,hair brush/comb,China,2416,
2417,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2417,
2418,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2418,
2419,hair brush/comb in India,Asia,hair brush/comb,India,2419,
2420,hair brush/comb in China,Asia,hair brush/comb,China,2420,
2421,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2421,
2422,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2422,
2423,hair brush/comb in India,Asia,hair brush/comb,India,2423,
2424,hair brush/comb in China,Asia,hair brush/comb,China,2424,
2425,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2425,
2426,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2426,
2427,hair brush/comb in India,Asia,hair brush/comb,India,2427,
2428,hair brush/comb in China,Asia,hair brush/comb,China,2428,
2429,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2429,
2430,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2430,
2431,hair brush/comb in India,Asia,hair brush/comb,India,2431,
2432,hair brush/comb in China,Asia,hair brush/comb,China,2432,
2433,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2433,
2434,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2434,
2435,hair brush/comb in India,Asia,hair brush/comb,India,2435,
2436,hair brush/comb in China,Asia,hair brush/comb,China,2436,
2437,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2437,
2438,hair brush/comb in Indonesia,Asia,hair brush/comb,Indonesia,2438,
2439,hair brush/comb in India,Asia,hair brush/comb,India,2439,
2440,hair brush/comb in China,Asia,hair brush/comb,China,2440,
2441,hair brush/comb in Nepal,Asia,hair brush/comb,Nepal,2441,
2442,bike in the Netherlands,Europe,bike,the Netherlands,2442,
2443,bike in Serbia,Europe,bike,Serbia,2443,
2444,bike in Spain,Europe,bike,Spain,2444,
2445,bike in France,Europe,bike,France,2445,
2446,bike in the Netherlands,Europe,bike,the Netherlands,2446,
2447,bike in Serbia,Europe,bike,Serbia,2447,
2448,bike in Spain,Europe,bike,Spain,2448,
2449,bike in France,Europe,bike,France,2449,
2450,bike in the Netherlands,Europe,bike,the Netherlands,2450,
2451,bike in Serbia,Europe,bike,Serbia,2451,
2452,bike in Spain,Europe,bike,Spain,2452,
2453,bike in France,Europe,bike,France,2453,
2454,bike in the Netherlands,Europe,bike,the Netherlands,2454,
2455,bike in Serbia,Europe,bike,Serbia,2455,
2456,bike in Spain,Europe,bike,Spain,2456,
2457,bike in France,Europe,bike,France,2457,
2458,bike in the Netherlands,Europe,bike,the Netherlands,2458,
2459,bike in Serbia,Europe,bike,Serbia,2459,
2460,bike in Spain,Europe,bike,Spain,2460,
2461,bike in France,Europe,bike,France,2461,
2462,bike in the Netherlands,Europe,bike,the Netherlands,2462,
2463,bike in Serbia,Europe,bike,Serbia,2463,
2464,bike in Spain,Europe,bike,Spain,2464,
2465,bike in France,Europe,bike,France,2465,
2466,bike in the Netherlands,Europe,bike,the Netherlands,2466,
2467,bike in Serbia,Europe,bike,Serbia,2467,
2468,bike in Spain,Europe,bike,Spain,2468,
2469,bike in France,Europe,bike,France,2469,
2470,bike in the Netherlands,Europe,bike,the Netherlands,2470,
2471,bike in Serbia,Europe,bike,Serbia,2471,
2472,bike in Spain,Europe,bike,Spain,2472,
2473,bike in Nigeria,Africa,bike,Nigeria,2473,
2474,bike in Malawi,Africa,bike,Malawi,2474,
2475,bike in Ethiopia,Africa,bike,Ethiopia,2475,
2476,bike in Cameroon,Africa,bike,Cameroon,2476,
2477,bike in South Africa,Africa,bike,South Africa,2477,
2478,bike in Burkina Faso,Africa,bike,Burkina Faso,2478,
2479,bike in Nigeria,Africa,bike,Nigeria,2479,
2480,bike in Malawi,Africa,bike,Malawi,2480,
2481,bike in Ethiopia,Africa,bike,Ethiopia,2481,
2482,bike in Cameroon,Africa,bike,Cameroon,2482,
2483,bike in South Africa,Africa,bike,South Africa,2483,
2484,bike in Burkina Faso,Africa,bike,Burkina Faso,2484,
2485,bike in Nigeria,Africa,bike,Nigeria,2485,
2486,bike in Malawi,Africa,bike,Malawi,2486,
2487,bike in Ethiopia,Africa,bike,Ethiopia,2487,
2488,bike in the United States,the Americas,bike,the United States,2488,
2489,bike in Colombia,the Americas,bike,Colombia,2489,
2490,bike in the United States,the Americas,bike,the United States,2490,
2491,bike in Colombia,the Americas,bike,Colombia,2491,
2492,bike in the United States,the Americas,bike,the United States,2492,
2493,bike in Colombia,the Americas,bike,Colombia,2493,
2494,bike in the United States,the Americas,bike,the United States,2494,
2495,bike in Colombia,the Americas,bike,Colombia,2495,
2496,bike in the United States,the Americas,bike,the United States,2496,
2497,bike in Colombia,the Americas,bike,Colombia,2497,
2498,bike in the United States,the Americas,bike,the United States,2498,
2499,bike in Colombia,the Americas,bike,Colombia,2499,
2500,bike in the United States,the Americas,bike,the United States,2500,
2501,bike in Colombia,the Americas,bike,Colombia,2501,
2502,bike in the United States,the Americas,bike,the United States,2502,
2503,bike in Colombia,the Americas,bike,Colombia,2503,
2504,bike in the United States,the Americas,bike,the United States,2504,
2505,bike in Colombia,the Americas,bike,Colombia,2505,
2506,bike in the United States,the Americas,bike,the United States,2506,
2507,bike in Colombia,the Americas,bike,Colombia,2507,
2508,bike in the United States,the Americas,bike,the United States,2508,
2509,bike in Colombia,the Americas,bike,Colombia,2509,
2510,bike in the United States,the Americas,bike,the United States,2510,
2511,bike in Colombia,the Americas,bike,Colombia,2511,
2512,bike in the United States,the Americas,bike,the United States,2512,
2513,bike in Colombia,the Americas,bike,Colombia,2513,
2514,bike in the United States,the Americas,bike,the United States,2514,
2515,bike in Colombia,the Americas,bike,Colombia,2515,
2516,bike in the United States,the Americas,bike,the United States,2516,
2517,bike in Colombia,the Americas,bike,Colombia,2517,
2518,bike in India,Asia,bike,India,2518,
2519,bike in China,Asia,bike,China,2519,
2520,bike in Nepal,Asia,bike,Nepal,2520,
2521,bike in Indonesia,Asia,bike,Indonesia,2521,
2522,bike in India,Asia,bike,India,2522,
2523,bike in China,Asia,bike,China,2523,
2524,bike in Nepal,Asia,bike,Nepal,2524,
2525,bike in Indonesia,Asia,bike,Indonesia,2525,
2526,bike in India,Asia,bike,India,2526,
2527,bike in China,Asia,bike,China,2527,
2528,bike in Nepal,Asia,bike,Nepal,2528,
2529,bike in Indonesia,Asia,bike,Indonesia,2529,
2530,bike in India,Asia,bike,India,2530,
2531,bike in China,Asia,bike,China,2531,
2532,bike in Nepal,Asia,bike,Nepal,2532,
2533,bike in Indonesia,Asia,bike,Indonesia,2533,
2534,bike in India,Asia,bike,India,2534,
2535,bike in China,Asia,bike,China,2535,
2536,bike in Nepal,Asia,bike,Nepal,2536,
2537,bike in Indonesia,Asia,bike,Indonesia,2537,
2538,bike in India,Asia,bike,India,2538,
2539,bike in China,Asia,bike,China,2539,
2540,bike in Nepal,Asia,bike,Nepal,2540,
2541,bike in Indonesia,Asia,bike,Indonesia,2541,
2542,bike in India,Asia,bike,India,2542,
2543,bike in China,Asia,bike,China,2543,
2544,bike in Nepal,Asia,bike,Nepal,2544,
2545,bike in Indonesia,Asia,bike,Indonesia,2545,
2546,bike in India,Asia,bike,India,2546,
2547,bike in China,Asia,bike,China,2547,
2548,bike in Nepal,Asia,bike,Nepal,2548,
2549,bike in Indonesia,Asia,bike,Indonesia,2549,
2550,bike in India,Asia,bike,India,2550,
2551,bike in China,Asia,bike,China,2551,
2552,bike in Nepal,Asia,bike,Nepal,2552,
2553,bike in Indonesia,Asia,bike,Indonesia,2553,
2554,bike in India,Asia,bike,India,2554,
2555,bike in China,Asia,bike,China,2555,
2556,bike in Nepal,Asia,bike,Nepal,2556,
2557,bike in Indonesia,Asia,bike,Indonesia,2557,
2558,bike in India,Asia,bike,India,2558,
2559,bike in China,Asia,bike,China,2559,
2560,bike in Nepal,Asia,bike,Nepal,2560,
2561,bike in Indonesia,Asia,bike,Indonesia,2561,
2562,bike in India,Asia,bike,India,2562,
2563,bike in China,Asia,bike,China,2563,
2564,bike in Nepal,Asia,bike,Nepal,2564,
2565,bike in Indonesia,Asia,bike,Indonesia,2565,
2566,bike in India,Asia,bike,India,2566,
2567,bike in China,Asia,bike,China,2567,
2568,bike in Nepal,Asia,bike,Nepal,2568,
2569,bike in Indonesia,Asia,bike,Indonesia,2569,
2570,bike in India,Asia,bike,India,2570,
2571,bike in China,Asia,bike,China,2571,
2572,bike in Nepal,Asia,bike,Nepal,2572,
2573,bike in Indonesia,Asia,bike,Indonesia,2573,
2574,bike in India,Asia,bike,India,2574,
2575,bike in China,Asia,bike,China,2575,
2576,bike in Nepal,Asia,bike,Nepal,2576,
2577,bike in Indonesia,Asia,bike,Indonesia,2577,
2578,bike in India,Asia,bike,India,2578,
2579,bike in China,Asia,bike,China,2579,
2580,bike in Nepal,Asia,bike,Nepal,2580,
2581,bike in Indonesia,Asia,bike,Indonesia,2581,
2582,armchair in the Netherlands,Europe,armchair,the Netherlands,2582,
2583,armchair in Serbia,Europe,armchair,Serbia,2583,
2584,armchair in Spain,Europe,armchair,Spain,2584,
2585,armchair in France,Europe,armchair,France,2585,
2586,armchair in the Netherlands,Europe,armchair,the Netherlands,2586,
2587,armchair in Serbia,Europe,armchair,Serbia,2587,
2588,armchair in Spain,Europe,armchair,Spain,2588,
2589,armchair in France,Europe,armchair,France,2589,
2590,armchair in the Netherlands,Europe,armchair,the Netherlands,2590,
2591,armchair in Serbia,Europe,armchair,Serbia,2591,
2592,armchair in Spain,Europe,armchair,Spain,2592,
2593,armchair in France,Europe,armchair,France,2593,
2594,armchair in the Netherlands,Europe,armchair,the Netherlands,2594,
2595,armchair in Serbia,Europe,armchair,Serbia,2595,
2596,armchair in Spain,Europe,armchair,Spain,2596,
2597,armchair in France,Europe,armchair,France,2597,
2598,armchair in the Netherlands,Europe,armchair,the Netherlands,2598,
2599,armchair in Serbia,Europe,armchair,Serbia,2599,
2600,armchair in Spain,Europe,armchair,Spain,2600,
2601,armchair in France,Europe,armchair,France,2601,
2602,armchair in the Netherlands,Europe,armchair,the Netherlands,2602,
2603,armchair in Serbia,Europe,armchair,Serbia,2603,
2604,armchair in Spain,Europe,armchair,Spain,2604,
2605,armchair in France,Europe,armchair,France,2605,
2606,armchair in the Netherlands,Europe,armchair,the Netherlands,2606,
2607,armchair in Serbia,Europe,armchair,Serbia,2607,
2608,armchair in Spain,Europe,armchair,Spain,2608,
2609,armchair in France,Europe,armchair,France,2609,
2610,armchair in Nigeria,Africa,armchair,Nigeria,2610,
2611,armchair in Malawi,Africa,armchair,Malawi,2611,
2612,armchair in Ethiopia,Africa,armchair,Ethiopia,2612,
2613,armchair in Cameroon,Africa,armchair,Cameroon,2613,
2614,armchair in South Africa,Africa,armchair,South Africa,2614,
2615,armchair in Burkina Faso,Africa,armchair,Burkina Faso,2615,
2616,armchair in Nigeria,Africa,armchair,Nigeria,2616,
2617,armchair in Malawi,Africa,armchair,Malawi,2617,
2618,armchair in Ethiopia,Africa,armchair,Ethiopia,2618,
2619,armchair in Cameroon,Africa,armchair,Cameroon,2619,
2620,armchair in South Africa,Africa,armchair,South Africa,2620,
2621,armchair in Burkina Faso,Africa,armchair,Burkina Faso,2621,
2622,armchair in Nigeria,Africa,armchair,Nigeria,2622,
2623,armchair in Malawi,Africa,armchair,Malawi,2623,
2624,armchair in Ethiopia,Africa,armchair,Ethiopia,2624,
2625,armchair in Cameroon,Africa,armchair,Cameroon,2625,
2626,armchair in South Africa,Africa,armchair,South Africa,2626,
2627,armchair in Burkina Faso,Africa,armchair,Burkina Faso,2627,
2628,armchair in Nigeria,Africa,armchair,Nigeria,2628,
2629,armchair in Malawi,Africa,armchair,Malawi,2629,
2630,armchair in Ethiopia,Africa,armchair,Ethiopia,2630,
2631,armchair in Cameroon,Africa,armchair,Cameroon,2631,
2632,armchair in South Africa,Africa,armchair,South Africa,2632,
2633,armchair in Burkina Faso,Africa,armchair,Burkina Faso,2633,
2634,armchair in Nigeria,Africa,armchair,Nigeria,2634,
2635,armchair in Malawi,Africa,armchair,Malawi,2635,
2636,armchair in Ethiopia,Africa,armchair,Ethiopia,2636,
2637,armchair in Cameroon,Africa,armchair,Cameroon,2637,
2638,armchair in South Africa,Africa,armchair,South Africa,2638,
2639,armchair in the United States,the Americas,armchair,the United States,2639,
2640,armchair in Colombia,the Americas,armchair,Colombia,2640,
2641,armchair in the United States,the Americas,armchair,the United States,2641,
2642,armchair in Colombia,the Americas,armchair,Colombia,2642,
2643,armchair in the United States,the Americas,armchair,the United States,2643,
2644,armchair in Colombia,the Americas,armchair,Colombia,2644,
2645,armchair in the United States,the Americas,armchair,the United States,2645,
2646,armchair in Colombia,the Americas,armchair,Colombia,2646,
2647,armchair in the United States,the Americas,armchair,the United States,2647,
2648,armchair in Colombia,the Americas,armchair,Colombia,2648,
2649,armchair in the United States,the Americas,armchair,the United States,2649,
2650,armchair in Colombia,the Americas,armchair,Colombia,2650,
2651,armchair in the United States,the Americas,armchair,the United States,2651,
2652,armchair in Colombia,the Americas,armchair,Colombia,2652,
2653,armchair in the United States,the Americas,armchair,the United States,2653,
2654,armchair in Colombia,the Americas,armchair,Colombia,2654,
2655,armchair in the United States,the Americas,armchair,the United States,2655,
2656,armchair in Colombia,the Americas,armchair,Colombia,2656,
2657,armchair in the United States,the Americas,armchair,the United States,2657,
2658,armchair in Colombia,the Americas,armchair,Colombia,2658,
2659,armchair in the United States,the Americas,armchair,the United States,2659,
2660,armchair in Colombia,the Americas,armchair,Colombia,2660,
2661,armchair in the United States,the Americas,armchair,the United States,2661,
2662,armchair in Colombia,the Americas,armchair,Colombia,2662,
2663,armchair in the United States,the Americas,armchair,the United States,2663,
2664,armchair in Colombia,the Americas,armchair,Colombia,2664,
2665,armchair in the United States,the Americas,armchair,the United States,2665,
2666,armchair in Colombia,the Americas,armchair,Colombia,2666,
2667,armchair in the United States,the Americas,armchair,the United States,2667,
2668,armchair in Colombia,the Americas,armchair,Colombia,2668,
2669,armchair in the United States,the Americas,armchair,the United States,2669,
2670,armchair in Colombia,the Americas,armchair,Colombia,2670,
2671,armchair in the United States,the Americas,armchair,the United States,2671,
2672,armchair in Colombia,the Americas,armchair,Colombia,2672,
2673,armchair in the United States,the Americas,armchair,the United States,2673,
2674,armchair in Colombia,the Americas,armchair,Colombia,2674,
2675,armchair in the United States,the Americas,armchair,the United States,2675,
2676,armchair in India,Asia,armchair,India,2676,
2677,armchair in China,Asia,armchair,China,2677,
2678,armchair in Nepal,Asia,armchair,Nepal,2678,
2679,armchair in Indonesia,Asia,armchair,Indonesia,2679,
2680,armchair in India,Asia,armchair,India,2680,
2681,armchair in China,Asia,armchair,China,2681,
2682,armchair in Nepal,Asia,armchair,Nepal,2682,
2683,armchair in Indonesia,Asia,armchair,Indonesia,2683,
2684,armchair in India,Asia,armchair,India,2684,
2685,armchair in China,Asia,armchair,China,2685,
2686,armchair in Nepal,Asia,armchair,Nepal,2686,
2687,armchair in Indonesia,Asia,armchair,Indonesia,2687,
2688,armchair in India,Asia,armchair,India,2688,
2689,armchair in China,Asia,armchair,China,2689,
2690,armchair in Nepal,Asia,armchair,Nepal,2690,
2691,armchair in Indonesia,Asia,armchair,Indonesia,2691,
2692,armchair in India,Asia,armchair,India,2692,
2693,armchair in China,Asia,armchair,China,2693,
2694,armchair in Nepal,Asia,armchair,Nepal,2694,
2695,armchair in Indonesia,Asia,armchair,Indonesia,2695,
2696,armchair in India,Asia,armchair,India,2696,
2697,armchair in China,Asia,armchair,China,2697,
2698,armchair in Nepal,Asia,armchair,Nepal,2698,
2699,armchair in Indonesia,Asia,armchair,Indonesia,2699,
2700,armchair in India,Asia,armchair,India,2700,
2701,armchair in China,Asia,armchair,China,2701,
2702,armchair in Nepal,Asia,armchair,Nepal,2702,
2703,armchair in Indonesia,Asia,armchair,Indonesia,2703,
2704,armchair in India,Asia,armchair,India,2704,
2705,armchair in China,Asia,armchair,China,2705,
2706,armchair in Nepal,Asia,armchair,Nepal,2706,
2707,armchair in Indonesia,Asia,armchair,Indonesia,2707,
2708,armchair in India,Asia,armchair,India,2708,
2709,armchair in China,Asia,armchair,China,2709,
2710,armchair in Nepal,Asia,armchair,Nepal,2710,
2711,armchair in Indonesia,Asia,armchair,Indonesia,2711,
2712,armchair in India,Asia,armchair,India,2712,
2713,armchair in China,Asia,armchair,China,2713,
2714,armchair in Nepal,Asia,armchair,Nepal,2714,
2715,armchair in Indonesia,Asia,armchair,Indonesia,2715,
2716,armchair in India,Asia,armchair,India,2716,
2717,armchair in China,Asia,armchair,China,2717,
2718,armchair in Nepal,Asia,armchair,Nepal,2718,
2719,armchair in Indonesia,Asia,armchair,Indonesia,2719,
2720,armchair in India,Asia,armchair,India,2720,
2721,armchair in China,Asia,armchair,China,2721,
2722,armchair in Nepal,Asia,armchair,Nepal,2722,
2723,armchair in Indonesia,Asia,armchair,Indonesia,2723,
2724,armchair in India,Asia,armchair,India,2724,
2725,armchair in China,Asia,armchair,China,2725,
2726,armchair in Nepal,Asia,armchair,Nepal,2726,
2727,armchair in Indonesia,Asia,armchair,Indonesia,2727,
2728,armchair in India,Asia,armchair,India,2728,
2729,armchair in China,Asia,armchair,China,2729,
2730,armchair in Nepal,Asia,armchair,Nepal,2730,
2731,armchair in Indonesia,Asia,armchair,Indonesia,2731,
2732,armchair in India,Asia,armchair,India,2732,
2733,armchair in China,Asia,armchair,China,2733,
2734,armchair in Nepal,Asia,armchair,Nepal,2734,
2735,armchair in Indonesia,Asia,armchair,Indonesia,2735,
2736,armchair in India,Asia,armchair,India,2736,
2737,armchair in China,Asia,armchair,China,2737,
2738,armchair in Nepal,Asia,armchair,Nepal,2738,
2739,armchair in Indonesia,Asia,armchair,Indonesia,2739,
2740,armchair in India,Asia,armchair,India,2740,
2741,armchair in China,Asia,armchair,China,2741,
2742,armchair in Nepal,Asia,armchair,Nepal,2742,
2743,armchair in Indonesia,Asia,armchair,Indonesia,2743,
2744,armchair in India,Asia,armchair,India,2744,
2745,armchair in China,Asia,armchair,China,2745,
2746,armchair in Nepal,Asia,armchair,Nepal,2746,
2747,armchair in Indonesia,Asia,armchair,Indonesia,2747,
2748,armchair in India,Asia,armchair,India,2748,
2749,armchair in China,Asia,armchair,China,2749,
